species,common_name,linf_cm,k,t0,a,b,cmax,bc,t_opt,t_max_c,ck1,ck2,rmax,br,act,q10,t_ref_r,fa,ua,ed_prey,ed_fish
# =============================================================================
# Tilapias (Cichlidae)
# =============================================================================
tilapia,Nile Tilapia,49.5,0.00137,0,0.0195,3.01,0.15,0.73,29.0,38.0,2.5,2.5,45.0,0.75,1.2,2.0,28.0,0.15,0.08,4500.0,5500.0
nile_tilapia,Nile Tilapia (Oreochromis niloticus),49.5,0.00137,0,0.0195,3.01,0.15,0.73,29.0,38.0,2.5,2.5,45.0,0.75,1.2,2.0,28.0,0.15,0.08,4500.0,5500.0
blue_tilapia,Blue Tilapia (Oreochromis aureus),45.0,0.00110,0,0.0210,2.98,0.14,0.74,28.0,37.0,2.5,2.5,42.0,0.76,1.1,2.0,27.0,0.14,0.08,4500.0,5400.0
mozambique_tilapia,Mozambique Tilapia (Oreochromis mossambicus),39.0,0.00100,0,0.0220,2.95,0.13,0.75,30.0,39.0,2.5,2.5,40.0,0.77,1.0,2.1,29.0,0.13,0.07,4400.0,5300.0
red_tilapia,Red Tilapia (Oreochromis hybrid),47.0,0.00120,0,0.0200,3.00,0.14,0.73,28.5,37.5,2.5,2.5,43.0,0.75,1.1,2.0,27.5,0.15,0.08,4500.0,5500.0
zilli_tilapia,Redbelly Tilapia (Coptodon zillii),32.0,0.00090,0,0.0230,2.92,0.12,0.76,27.0,36.0,2.5,2.5,38.0,0.78,1.0,2.0,26.0,0.13,0.07,4400.0,5200.0
# =============================================================================
# Carps and Minnows (Cyprinidae)
# =============================================================================
common_carp,Common Carp (Cyprinus carpio),110.0,0.00055,-20,0.0160,3.05,0.10,0.78,26.0,35.0,2.8,2.8,35.0,0.80,1.3,2.0,25.0,0.15,0.08,4300.0,6000.0
grass_carp,Grass Carp (Ctenopharyngodon idella),130.0,0.00041,-15,0.0120,3.10,0.08,0.79,27.0,36.0,2.8,2.8,30.0,0.82,1.2,2.0,26.0,0.16,0.09,4200.0,5700.0
bighead_carp,Bighead Carp (Hypophthalmichthys nobilis),140.0,0.00036,-20,0.0110,3.12,0.07,0.80,26.0,35.0,2.8,2.8,28.0,0.83,1.1,2.0,25.0,0.16,0.09,4200.0,5800.0
silver_carp,Silver Carp (Hypophthalmichthys molitrix),120.0,0.00045,-18,0.0125,3.08,0.08,0.79,25.0,34.0,2.8,2.8,30.0,0.82,1.2,2.0,24.0,0.16,0.09,4200.0,5700.0
crucian_carp,Crucian Carp (Carassius carassius),35.0,0.00082,0,0.0180,3.02,0.12,0.75,24.0,33.0,2.5,2.5,40.0,0.78,1.1,2.0,23.0,0.14,0.08,4400.0,5400.0
mrigal,Mrigal (Cirrhinus mrigala),100.0,0.00050,-15,0.0130,3.06,0.09,0.79,27.0,36.0,2.8,2.8,32.0,0.81,1.2,2.0,26.0,0.15,0.09,4300.0,5800.0
rohu,Rohu (Labeo rohita),110.0,0.00048,-12,0.0135,3.07,0.09,0.79,27.5,36.5,2.8,2.8,33.0,0.81,1.2,2.0,26.5,0.15,0.09,4300.0,5800.0
catla,Catla (Catla catla),150.0,0.00038,-25,0.0105,3.13,0.07,0.80,27.0,36.0,2.8,2.8,28.0,0.83,1.1,2.0,26.0,0.16,0.09,4200.0,5900.0
black_carp,Black Carp (Mylopharyngodon piceus),150.0,0.00035,-20,0.0100,3.15,0.07,0.80,27.0,36.0,2.8,2.8,27.0,0.84,1.1,2.0,26.0,0.16,0.09,4200.0,5900.0
goldfish,Goldfish (Carassius auratus),30.0,0.00090,0,0.0200,3.00,0.14,0.74,24.0,33.0,2.5,2.5,42.0,0.77,1.0,2.0,23.0,0.14,0.08,4400.0,5300.0
# =============================================================================
# Catfishes
# =============================================================================
channel_catfish,Channel Catfish (Ictalurus punctatus),95.0,0.00060,-10,0.0130,3.05,0.11,0.78,28.0,37.0,2.5,2.5,38.0,0.80,1.2,2.0,27.0,0.14,0.08,4500.0,6000.0
blue_catfish,Blue Catfish (Ictalurus furcatus),140.0,0.00040,-15,0.0110,3.10,0.09,0.80,27.0,36.0,2.5,2.5,32.0,0.82,1.1,2.0,26.0,0.15,0.08,4400.0,5900.0
flathead_catfish,Flathead Catfish (Pylodictis olivaris),120.0,0.00045,-12,0.0120,3.08,0.10,0.79,26.0,35.0,2.5,2.5,34.0,0.81,1.2,2.0,25.0,0.14,0.08,4400.0,5800.0
african_catfish,African Sharptooth Catfish (Clarias gariepinus),90.0,0.00070,-5,0.0140,3.03,0.12,0.77,29.0,38.0,2.5,2.5,42.0,0.79,1.3,2.1,28.0,0.13,0.07,4500.0,5500.0
walking_catfish,Walking Catfish (Clarias batrachus),45.0,0.00090,0,0.0200,2.98,0.14,0.75,30.0,39.0,2.5,2.5,45.0,0.77,1.2,2.1,29.0,0.13,0.07,4500.0,5400.0
striped_catfish,Striped Catfish (Pangasianodon hypophthalmus),130.0,0.00050,-10,0.0125,3.06,0.09,0.79,29.0,38.0,2.5,2.5,32.0,0.81,1.1,2.0,28.0,0.15,0.08,4400.0,5700.0
yellow_catfish,Yellow Catfish (Pelteobagrus fulvidraco),35.0,0.00080,0,0.0180,3.01,0.13,0.76,26.0,35.0,2.5,2.5,41.0,0.78,1.1,2.0,25.0,0.14,0.08,4400.0,5400.0
# =============================================================================
# Salmonids (Salmonidae)
# =============================================================================
atlantic_salmon,Atlantic Salmon (Salmo salar),130.0,0.00060,-30,0.0110,3.05,0.10,0.80,16.0,24.0,2.5,2.5,35.0,0.82,1.5,2.0,15.0,0.18,0.10,5000.0,7000.0
coho_salmon,Coho Salmon (Oncorhynchus kisutch),90.0,0.00080,-20,0.0120,3.03,0.11,0.79,15.0,23.0,2.5,2.5,38.0,0.81,1.6,2.0,14.0,0.18,0.10,5000.0,7200.0
chinook_salmon,Chinook Salmon (Oncorhynchus tshawytscha),140.0,0.00050,-35,0.0105,3.07,0.09,0.81,14.0,22.0,2.5,2.5,32.0,0.83,1.7,1.9,13.0,0.19,0.10,5000.0,7500.0
sockeye_salmon,Sockeye Salmon (Oncorhynchus nerka),80.0,0.00090,-25,0.0125,3.02,0.12,0.78,13.0,21.0,2.5,2.5,40.0,0.80,1.8,1.9,12.0,0.18,0.10,5100.0,7400.0
chum_salmon,Chum Salmon (Oncorhynchus keta),100.0,0.00070,-25,0.0115,3.04,0.10,0.79,14.0,22.0,2.5,2.5,36.0,0.81,1.6,2.0,13.0,0.18,0.10,5000.0,7200.0
pink_salmon,Pink Salmon (Oncorhynchus gorbuscha),75.0,0.00110,-30,0.0140,3.00,0.13,0.77,12.0,20.0,2.5,2.5,43.0,0.79,1.7,1.9,11.0,0.18,0.10,5100.0,7100.0
rainbow_trout,Rainbow Trout (Oncorhynchus mykiss),80.0,0.00090,-20,0.0125,3.03,0.12,0.79,15.0,23.0,2.5,2.5,40.0,0.80,1.5,2.0,14.0,0.18,0.10,5000.0,7000.0
brown_trout,Brown Trout (Salmo trutta),90.0,0.00070,-25,0.0120,3.04,0.11,0.79,14.0,22.0,2.5,2.5,37.0,0.81,1.5,2.0,13.0,0.18,0.10,5000.0,7100.0
brook_trout,Brook Trout (Salvelinus fontinalis),55.0,0.00100,-15,0.0130,3.00,0.13,0.78,13.0,21.0,2.5,2.5,44.0,0.79,1.6,1.9,12.0,0.17,0.10,5100.0,6900.0
lake_trout,Lake Trout (Salvelinus namaycush),120.0,0.00040,-40,0.0100,3.08,0.08,0.81,10.0,18.0,2.5,2.5,28.0,0.84,1.8,1.8,9.0,0.20,0.11,5200.0,7800.0
arctic_char,Arctic Char (Salvelinus alpinus),70.0,0.00080,-20,0.0130,3.01,0.12,0.78,12.0,20.0,2.5,2.5,42.0,0.79,1.7,1.9,11.0,0.18,0.10,5100.0,7200.0
whitefish,Lake Whitefish (Coregonus clupeaformis),60.0,0.00060,-25,0.0120,3.04,0.10,0.80,11.0,19.0,2.5,2.5,34.0,0.82,1.4,2.0,10.0,0.19,0.10,5000.0,7000.0
# =============================================================================
# Basses and Sunfishes (Centrarchidae)
# =============================================================================
largemouth_bass,Largemouth Bass (Micropterus salmoides),75.0,0.00070,-10,0.0130,3.05,0.12,0.78,26.0,35.0,2.5,2.5,42.0,0.80,1.3,2.0,25.0,0.14,0.08,4500.0,5800.0
smallmouth_bass,Smallmouth Bass (Micropterus dolomieu),60.0,0.00080,-10,0.0140,3.02,0.13,0.77,24.0,33.0,2.5,2.5,44.0,0.79,1.3,2.0,23.0,0.14,0.08,4500.0,5700.0
striped_bass,Striped Bass (Morone saxatilis),120.0,0.00050,-15,0.0120,3.06,0.10,0.80,22.0,30.0,2.5,2.5,35.0,0.82,1.5,2.0,21.0,0.16,0.09,4700.0,6300.0
white_bass,White Bass (Morone chrysops),45.0,0.00100,-5,0.0150,3.00,0.14,0.76,23.0,32.0,2.5,2.5,46.0,0.78,1.3,2.0,22.0,0.14,0.08,4500.0,5800.0
yellow_bass,Yellow Bass (Morone mississippiensis),35.0,0.00110,-5,0.0160,2.98,0.15,0.75,24.0,33.0,2.5,2.5,48.0,0.77,1.2,2.0,23.0,0.14,0.08,4500.0,5700.0
hybrid_striped_bass,Hybrid Striped Bass (Morone hybrid),100.0,0.00060,-10,0.0125,3.05,0.11,0.79,23.0,31.0,2.5,2.5,37.0,0.81,1.4,2.0,22.0,0.15,0.09,4600.0,6100.0
# =============================================================================
# Perches (Percidae)
# =============================================================================
yellow_perch,Yellow Perch (Perca flavescens),40.0,0.00090,-5,0.0150,3.00,0.14,0.76,23.0,32.0,2.5,2.5,44.0,0.78,1.2,2.0,22.0,0.14,0.08,4500.0,5600.0
european_perch,European Perch (Perca fluviatilis),50.0,0.00080,-10,0.0140,3.02,0.13,0.77,22.0,31.0,2.5,2.5,42.0,0.79,1.2,2.0,21.0,0.14,0.08,4500.0,5600.0
nile_perch,Nile Perch (Lates niloticus),190.0,0.00030,-20,0.0100,3.10,0.07,0.82,28.0,37.0,2.5,2.5,26.0,0.85,1.1,2.0,27.0,0.15,0.09,4400.0,6000.0
walleye,Walleye (Sander vitreus),85.0,0.00065,-10,0.0130,3.04,0.11,0.79,21.0,29.0,2.5,2.5,37.0,0.81,1.4,2.0,20.0,0.15,0.09,4600.0,6000.0
pikeperch,Pikeperch (Sander lucioperca),120.0,0.00050,-15,0.0120,3.06,0.10,0.80,22.0,30.0,2.5,2.5,34.0,0.82,1.3,2.0,21.0,0.15,0.09,4600.0,6100.0
# =============================================================================
# Snakeheads and Gouramis
# =============================================================================
snakehead,Snakehead (Channa argus),80.0,0.00070,-5,0.0120,3.05,0.12,0.78,28.0,37.0,2.5,2.5,43.0,0.80,1.3,2.0,27.0,0.14,0.08,4600.0,5700.0
striped_snakehead,Striped Snakehead (Channa striata),90.0,0.00060,-5,0.0115,3.06,0.11,0.79,29.0,38.0,2.5,2.5,39.0,0.81,1.2,2.1,28.0,0.14,0.08,4600.0,5800.0
giant_gourami,Giant Gourami (Osphronemus goramy),65.0,0.00070,-5,0.0180,2.98,0.10,0.78,28.0,37.0,2.5,2.5,35.0,0.80,1.1,2.0,27.0,0.16,0.09,4400.0,5500.0
# =============================================================================
# Barramundi / Asian Seabass
# =============================================================================
barramundi,Barramundi (Lates calcarifer),120.0,0.00070,-15,0.0125,3.04,0.11,0.80,29.0,38.0,2.5,2.5,38.0,0.81,1.3,2.1,28.0,0.14,0.08,4700.0,6000.0
# =============================================================================
